Internal    Product    Made       Type and
number      code       in         description
----------------------------------------------------------------------
DMP00387    0500385    Finland    NHK-6NX  PCN TRANSCEIVER
DMP00381    0500386    Finland    NHE-6NX  GSM TRANSCEIVER
DMP00386    0500581    Finland    NHE-6BX GSM HP TRANSCEIVER
DMP00388    0500582    Finland    NHK-6BX PCN HP TRCVR, NOKIA 2
DMP01305    0500725    Finland    NHE-6BX GSM TRANSCEIVER, GREECE
DMP01304    0500726    Finland    NHE-6BX GSM TRCVR, FIELDTEST
DMP01279    0500727    Finland    NHK-6NX PCN TRCVR, FIELDTEST
DMP01269    0500989    Finland    NHE-6BX NOKIA 8110 GSM TIM
DMP01298    0500990    Finland    NHE-6BX NOKIA 8110 GSM AIRTEL
DMP01301    0500991    Finland    NHE-6BX NOKIA 8110 GSM MOVISTAR
DMP01913    0500994    Finland    NHE-6BM GSM PHASE 2 HP, NOKIA 2
DMP02381    0501451    Finland    NHK-6NX NOKIA 8148I
DMP01272    0500998    Finland    NHE-6BX NOKIA 8110 GSM OMNITEL
DMP01275    0501000    Finland    NHE-6BX NOKIA 8110 SIM LOCKABLE
DMP01292    0501001    Finland    NHK-6RY NOKIA 8148 PCN ORANGE
DMP01293    0501002    Finland    NHK-6PT NOKIA 8146 PCN MERCURY
DMP01294    0501003    Finland    NHK-6BT NOKIA 8148 PCN BOUYGUES
DMP01296    0501004    Finland    NHK-6AX NOKIA 8148 PCN EPLUS
DMP01328    0501034    Finland    NHE-6BX APACG VERSION
DMP01329    0501035    Finland    NHE-6NX APACG VERSION
DMP01430    0501058    Finland    NHE-6BX NOKIA 8110 GSM D2
DMP01589    0501135    Finland    NHE-6BX NOKIA 8110 PLUS GSM
DMP01582    0501147    Finland    NHK-6NX PCN TRCVR, APACG
DMP01903    0501250    Finland    NHE-6BX 8110 APAC-UI/SMS VERS.
DMP02008    0501360    Finland    NHE-6BM GSM TRANSCEIVER,GREEK
DMP02009    0501361    Finland    NHE-6BM NOKIA 8110I GSM, TIM
DMP02010    0501362    Finland    NHE-6BM NOKIA 8110I GSM AIRTEL
DMP02011    0501363    Finland    NHE-6BM NOKIA 8110I GSM MOVISTAR
DMP02012    0501364    Finland    NHE-6BM NOKIA 8110I GSM OMNITEL
DMP02128    0501410    Finland    NHE-6BM NOKIA 8110I PLUS
DMP02154    0501429    Finland    NHE-6BM 8110I FIELDTEST
DMP02151    0501434    Finland    NHE-6BM NOKIA 8110I,GSM,ALS
DMP02384    0501452    Finland    NHK-6RY NOKIA 8148I
DMP02369    0501589    Finland    NHE-6BM GSM 8110I N2 FINLAND
DMP02527    0501681    Finland    NHE-6BM GSM 8110i
DMP02530    0501684    Finland    NHE-6BM GSM 8110i
DMP02390    0501454    Finland    NHK-6AX PCN 8148i
DMP02393    0501455    Finland    NHK-6PT PCN 8148i
DMP02469    0501663    Finland    NHK-6NX PCN 8148i
DMP02472    0501664    Finland    NHK-6NX PCN 8148i
DMP01554    0500385    Germany    NHK-6NX  PCN TRANSCEIVER
DMP00907    0500581    Germany    NHE-6BX GSM HP TRANSCEIVER
DMP01576    0500582    Germany    NHK-6BX PCN HP TRCVR, NOKIA 2
DMP01306    0500725    Germany    NHE-6BX GSM TRANSCEIVER, GREECE
DMP01422    0500726    Germany    NHE-6BX GSM TRCVR, FIELDTEST
DMP01577    0500727    Germany    NHK-6NX PCN TRCVR, FIELDTEST
DMP01270    0500989    Germany    NHE-6BX NOKIA 8110 GSM TIM
DMP01299    0500990    Germany    NHE-6BX NOKIA 8110 GSM AIRTEL
DMP01302    0500991    Germany    NHE-6BX NOKIA 8110 GSM MOVISTAR
DMP01914    0500994    Germany    NHE-6BM GSM PHASE 2 HP, NOKIA 2
DMP02382    0501451    Germany    NHK-6NX NOKIA 8148I
DMP01273    0500998    Germany    NHE-6BX NOKIA 8110 GSM OMNITEL
DMP01276    0501000    Germany    NHE-6BX NOKIA 8110 SIM LOCKABLE
DMP01550    0501001    Germany    NHK-6RY NOKIA 8148 PCN ORANGE
DMP01551    0501002    Germany    NHK-6PT NOKIA 8146 PCN MERCURY
DMP01552    0501003    Germany    NHK-6BT NOKIA 8148 PCN BOUYGUES
